path,subset,damage_type,location,lon,lat
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\73.4847_10.8241.jpg,test,damage,73.4847_10.8241,73.4847,10.8241
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\72.826_31.1869.jpg,test,damage,72.826_31.1869,72.826,31.1869
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\75.1011_21.8124.jpg,test,damage,75.1011_21.8124,75.1011,21.8124
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\70.0395_27.5188.jpg,test,damage,70.0395_27.5188,70.0395,27.5188
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\72.8718_30.8696.jpg,test,damage,72.8718_30.8696,72.8718,30.8696
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\88.7601_29.385.jpg,test,damage,88.7601_29.385,88.7601,29.385
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\75.0_24.4878.jpg,test,damage,75.0_24.4878,75.0,24.4878
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\70.5161_15.6408.jpg,test,damage,70.5161_15.6408,70.5161,15.6408
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\80.2174_35.471.jpg,test,damage,80.2174_35.471,80.2174,35.471
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\81.8716_14.7199.jpg,test,damage,81.8716_14.7199,81.8716,14.7199
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\93.9273_35.4579.jpg,test,damage,93.9273_35.4579,93.9273,35.4579
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\79.2077_31.1025.jpg,test,damage,79.2077_31.1025,79.2077,31.1025
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\69.7503_35.2211.jpg,test,damage,69.7503_35.2211,69.7503,35.2211
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\70.7342_20.1487.jpg,test,damage,70.7342_20.1487,70.7342,20.1487
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\87.7495_27.6811.jpg,test,damage,87.7495_27.6811,87.7495,27.6811
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\95.9118_24.6746.jpg,test,damage,95.9118_24.6746,95.9118,24.6746
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\69.6292_14.6657.jpg,test,damage,69.6292_14.6657,69.6292,14.6657
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\76.2307_23.0108.jpg,test,damage,76.2307_23.0108,76.2307,23.0108
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\71.3807_9.4791.jpg,test,damage,71.3807_9.4791,71.3807,9.4791
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\94.7934_25.7074.jpg,test,damage,94.7934_25.7074,94.7934,25.7074
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\72.8909_36.9557.jpg,test,damage,72.8909_36.9557,72.8909,36.9557
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\76.9766_10.189.jpg,test,damage,76.9766_10.189,76.9766,10.189
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\71.4602_24.9099.jpg,test,damage,71.4602_24.9099,71.4602,24.9099
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\93.8652_13.9059.jpg,test,damage,93.8652_13.9059,93.8652,13.9059
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\77.8506_13.3175.jpg,test,damage,77.8506_13.3175,77.8506,13.3175
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\70.0833_28.1521.jpg,test,damage,70.0833_28.1521,70.0833,28.1521
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\96.9908_8.9649.jpg,test,damage,96.9908_8.9649,96.9908,8.9649
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\68.2594_28.4081.jpg,test,damage,68.2594_28.4081,68.2594,28.4081
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\83.7378_21.3629.jpg,test,damage,83.7378_21.3629,83.7378,21.3629
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\75.5058_16.7562.jpg,test,damage,75.5058_16.7562,75.5058,16.7562
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\96.1582_36.3192.jpg,test,damage,96.1582_36.3192,96.1582,36.3192
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\92.7969_29.9632.jpg,test,damage,92.7969_29.9632,92.7969,29.9632
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\94.0896_16.0014.jpg,test,damage,94.0896_16.0014,94.0896,16.0014
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\74.3597_36.9468.jpg,test,damage,74.3597_36.9468,74.3597,36.9468
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\78.4149_30.0029.jpg,test,damage,78.4149_30.0029,78.4149,30.0029
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\88.38_22.4757.jpg,test,damage,88.38_22.4757,88.38,22.4757
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\86.8661_9.0224.jpg,test,damage,86.8661_9.0224,86.8661,9.0224
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\76.8425_28.6845.jpg,test,damage,76.8425_28.6845,76.8425,28.6845
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\75.8732_32.6059.jpg,test,damage,75.8732_32.6059,75.8732,32.6059
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\85.6591_35.9042.jpg,test,damage,85.6591_35.9042,85.6591,35.9042
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\74.9427_15.5026.jpg,test,damage,74.9427_15.5026,74.9427,15.5026
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\71.7901_23.4584.jpg,test,damage,71.7901_23.4584,71.7901,23.4584
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\83.6533_18.861.jpg,test,damage,83.6533_18.861,83.6533,18.861
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\91.3587_27.7966.jpg,test,damage,91.3587_27.7966,91.3587,27.7966
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\79.2237_21.9936.jpg,test,damage,79.2237_21.9936,79.2237,21.9936
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\78.8214_24.8021.jpg,test,damage,78.8214_24.8021,78.8214,24.8021
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\80.6167_30.7271.jpg,test,damage,80.6167_30.7271,80.6167,30.7271
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\90.8288_15.7586.jpg,test,damage,90.8288_15.7586,90.8288,15.7586
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\69.7496_18.3171.jpg,test,damage,69.7496_18.3171,69.7496,18.3171
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\69.9985_26.1417.jpg,test,damage,69.9985_26.1417,69.9985,26.1417
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\85.1134_31.5193.jpg,test,damage,85.1134_31.5193,85.1134,31.5193
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\72.1344_23.8593.jpg,test,damage,72.1344_23.8593,72.1344,23.8593
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\73.2538_25.9508.jpg,test,damage,73.2538_25.9508,73.2538,25.9508
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\96.1199_22.954.jpg,test,damage,96.1199_22.954,96.1199,22.954
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\79.1133_14.3044.jpg,test,damage,79.1133_14.3044,79.1133,14.3044
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\90.0811_18.8522.jpg,test,damage,90.0811_18.8522,90.0811,18.8522
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\87.0973_9.2201.jpg,test,damage,87.0973_9.2201,87.0973,9.2201
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\damage\91.2512_31.581.jpg,test,damage,91.2512_31.581,91.2512,31.581
